name,spreading_factor,bandwidth_hz,coding_rate,power_dbm,payload_length,preamble_symbols,crc_enabled,iq_inverted,packet_count,capture_bytes,sha256,estimated_snr_db,cfo_hz,packet_start_seconds,packet_end_seconds
sf5-bw125,5,125000,4/5,0,32,12,True,False,3,16777216,4620939b539fc0da83adb5dc35edf4440e0933f353f4635a0e2df32eb864bb8c,48.72871831818712,1196.3385177850723,1.2175,1.242499
sf6-bw125,6,125000,4/5,0,32,12,True,False,3,16777216,b0f43642e3d8b8862dc3078615da5c4ce1de172b38a1ef994123087d44791578,53.041445673768585,469.08844339847565,0.705,0.749999
sf7-bw125,7,125000,4/5,0,32,12,True,False,3,16777216,112020f5851502cb269a1f5395dacfe2c1cb83b70085eb089792642c516a29bd,53.307965656864184,201.31083691120148,0.285,0.361499
sf8-bw125,8,125000,4/5,0,32,12,True,False,3,16777216,d3d2671d467c5f417a52f5587c3cd5017dda9d2c01805b0143fc95833151c0d7,53.363835184227284,64.88576221466064,1.3825,1.524999
sf10-bw125,10,125000,4/5,0,32,12,True,False,1,16777216,6fe64cc4b198f3ec12fec91a1b234d3919ae8ccaef2fb55ac507eab036476673,53.321525499605656,-47.578712582588196,0.2485,0.734499
sf11-bw125,11,125000,4/5,0,32,12,True,False,1,16777216,7ca9e3677f7c4c8afe98618fb7d43a6a7e0087a37f6c81660eb640adfcf07057,48.84407125269274,-38.02757811546326,0.249,1.302499
sf12-bw125,12,125000,4/5,0,32,12,True,False,1,33554432,b9400275d1eab60e771b01ea36bbd0fc249b228e010f6294470e27b9e2f0f54b,53.20199136543277,-92.8188339471817,0.2,2.141999
sf7-bw62k5,7,62500,4/5,0,32,12,True,False,2,16777216,036322dc285f0db105f07be56d47278429a72aff73fe3a90eb8a2fd2c3e7f13d,53.34653940264265,31.840786695480347,0.2595,0.412499
sf7-bw250,7,250000,4/5,0,32,12,True,False,3,16777216,f6e187a7453f91f5e240394c05eda04ee7ec88e4d1d07e051956c6a20afdc47e,53.253416381384795,829.1521064043045,0.6855,0.723999
sf7-bw500,7,500000,4/5,0,32,12,True,False,2,16777216,ad8a2cd4b68708398df2667008f8a5af00a89d450b9783a40ca312ef9b734e8b,50.9995365560208,52031.977553129196,0.4705,0.4949995
sf7-cr46,7,125000,4/6,0,32,12,True,False,3,16777216,408f9acbb8f400d630c875329a106013bba99db5baf998348c2af719fed1cbd2,52.54510519935841,239.927787899971,1.3795,1.465999
sf7-cr47,7,125000,4/7,0,32,12,True,False,3,16777216,c1bc0f70bd1d6247695395c67a7c2d0a718575d5c902d11926caa61df4c88b20,52.794279215294324,239.27682983875275,1.295,1.391999
sf7-cr48,7,125000,4/8,0,32,12,True,False,3,16777216,584ae46696513737fa9778decb6ba97a9090ff88cde1b5eee31a4b370c991f32,53.15065274278869,156.61254012584686,0.7665,0.873999
sf7-power-m5,7,125000,4/5,-5,32,12,True,False,3,16777216,5a6c2c2b1726a178ec2a3ef7201279665dc4b4589b02ba3e7b452fe8ff08d75b,48.55315517416749,108.2773095369339,1.215,1.291499
sf7-len12,7,125000,4/5,0,12,12,True,False,3,16777216,753d4666c636bd8fc9526ada3412f321b73ea7c5a06f2b5141df5f3fbb5af363,52.986010413024374,195.47745561599731,0.671,0.716999
sf7-len64,7,125000,4/5,0,64,12,True,False,3,16777216,9d5d91409c5253dfd751ce7a8315c599c09c5219a8cd32cb361d4321807251de,52.97802991057388,210.07952105998993,0.23,0.352999
sf7-len128,7,125000,4/5,0,128,12,True,False,2,16777216,b6a7c735be764d27ec2141d6ab0ef4e230533f3482d3a3ed759984750c42494e,53.115183710385026,316.61657989025116,0.8765,1.096499
sf7-len220,7,125000,4/5,0,220,12,True,False,2,16777216,d60f7467fc66243f10374352c4a9c45043ecf166c00535c499c6db015e3c3219,52.59742523441443,119.55530202388763,0.2405,0.593999
sf7-preamble8,7,125000,4/5,0,32,8,True,False,3,16777216,fad5c924de9ea7eb749a480e1476781457ff880c2bbc941d6370951ef1e7e221,53.060715927790305,286.2671706676483,1.236,1.308499
sf7-preamble20,7,125000,4/5,0,32,20,True,False,3,16777216,9c8957669561ffeb5c59644ae48e3ec53c0150b6a1d3c4b7f1505c0a518e0d6b,53.081815522438774,108.90700125694275,1.322,1.406999
sf7-preamble32,7,125000,4/5,0,32,32,True,False,3,16777216,174820ed7a0209a3236fe073762d62f5333d61977c259c5bebf3a7ba5a463a26,53.10353843132019,170.03156805038452,0.7175,0.814499
sf7-crc-off,7,125000,4/5,0,32,12,False,False,3,16777216,a74494e22005c17bfef33e4442e65393ac890f4b23c6e0d2ddd5bc81a2351c32,48.594309111506945,229.15708529949188,0.7195,0.796499
sf7-sync34,7,125000,4/5,0,32,12,True,False,3,16777216,9f70f2c36c5d5cd560d7fd0cf060f569b3a969f9fd0ebbedd466a239251c3a98,52.84548440707067,213.10732531547546,0.268,0.344499
sf7-iq-inverted,7,125000,4/5,0,32,12,True,True,3,16777216,381472b834f223b5a3fdf4877e3f361fcac1440043f438c5d119599e378ba452,53.050319738960425,-392.6077959537506,1.229,1.305499
sf9-bw125,9,125000,4/5,0,32,12,True,False,2,16777216,34c462244c4b8dc0a3594a8af0d4374ad04fe269e7dd1a2715c59529d366f0ef,52.936678296738236,15.08920955657959,0.922,1.185999
