Name,SF,BandwidthHz,CodingRate,Transmissions,ActivityCandidates,AcquiredPackets,HeaderValidPackets,CrcValidPackets,PayloadMatchedPackets,SoftRecoveredPackets,PacketErrors,PER,PreFecBitErrors,PreFecBits,PreFecBER,PayloadBitErrors,PayloadBits,PayloadBER
sf5-bw125,5,125000,5,3,3,3,2,1,1,0,2,0.666666666666667,44,700,0.0628571428571429,278,768,0.361979166666667
sf6-bw125,6,125000,5,3,3,3,3,2,2,0,1,0.333333333333333,67,1080,0.062037037037037,10,768,0.0130208333333333
sf7-bw125,7,125000,5,3,3,3,3,3,3,0,0,0,18,1050,0.0171428571428571,0,768,0
sf8-bw125,8,125000,5,3,3,3,3,3,3,0,0,0,54,1080,0.05,0,768,0
sf9-bw125,9,125000,5,2,2,2,2,2,2,0,0,0,40,720,0.0555555555555556,0,512,0
sf10-bw125,10,125000,5,1,1,1,1,1,1,0,0,0,10,350,0.0285714285714286,0,256,0
sf11-bw125,11,125000,5,1,1,1,1,1,1,0,0,0,26,360,0.0722222222222222,0,256,0
sf12-bw125,12,125000,5,1,1,1,1,1,1,0,0,0,18,350,0.0514285714285714,0,256,0
sf7-bw250,7,250000,5,3,3,3,3,3,3,0,0,0,18,1050,0.0171428571428571,0,768,0
sf7-bw500,7,500000,5,2,1,0,0,0,0,0,2,1,0,0,NaN,512,512,1
sf7-cr46,7,125000,6,3,3,3,3,3,3,0,0,0,15,1260,0.0119047619047619,0,768,0
sf7-cr47,7,125000,7,3,3,3,3,3,3,0,0,0,30,1470,0.0204081632653061,0,768,0
sf7-cr48,7,125000,8,3,3,3,3,3,3,0,0,0,24,1680,0.0142857142857143,0,768,0
sf7-power-m5,7,125000,5,3,3,3,3,2,2,0,1,0.333333333333333,42,1050,0.04,18,768,0.0234375
sf7-power-m8,7,125000,5,3,3,3,3,3,3,0,0,0,18,1050,0.0171428571428571,0,768,0
sf7-power-m9,7,125000,5,3,3,3,3,3,3,1,0,0,19,1050,0.0180952380952381,0,768,0
sf7-len12,7,125000,5,3,3,3,3,2,2,0,1,0.333333333333333,12,420,0.0285714285714286,6,288,0.0208333333333333
sf7-len64,7,125000,5,3,3,3,3,3,3,0,0,0,6,1995,0.00300751879699248,0,1536,0
sf7-len128,7,125000,5,2,2,2,2,2,2,0,0,0,32,2660,0.0120300751879699,0,2048,0
sf7-len220,7,125000,5,2,2,2,2,2,2,0,0,0,20,4480,0.00446428571428571,0,3520,0
sf7-preamble20,7,125000,5,3,3,3,3,3,3,0,0,0,18,1050,0.0171428571428571,0,768,0
sf7-preamble32,7,125000,5,3,3,3,3,3,3,0,0,0,18,1050,0.0171428571428571,0,768,0
sf7-crc-off,7,125000,5,3,3,3,3,0,2,0,1,0.333333333333333,75,1050,0.0714285714285714,20,768,0.0260416666666667
sf7-sync34,7,125000,5,3,3,3,3,3,3,1,0,0,20,1050,0.019047619047619,0,768,0
sf7-iq-inverted,7,125000,5,3,3,3,2,2,2,0,1,0.333333333333333,12,700,0.0171428571428571,256,768,0.333333333333333
sf7-bw62k5,7,62500,5,2,2,2,2,2,2,0,0,0,12,700,0.0171428571428571,0,512,0
sf7-preamble8,7,125000,5,3,3,3,3,2,2,0,1,0.333333333333333,43,1050,0.040952380952381,9,768,0.01171875
