Name,SF,BandwidthHz,CodingRate,ExpectedLength,Success,PreambleValid,SyncValid,HeaderValid,CrcValid,DecodedLength,Prefix,Sequence,CfoHz,ResidualCfoHz,FailureReason
sf5-bw125,5,125000,5,32,1,1,1,1,1,32,ZLP1,3,-247736.61324879,932.924484161015,
sf6-bw125,6,125000,5,32,0,1,1,1,0,32,ZL.1,1342177476,-248956.564051607,303.137282288831,payload CRC invalid
sf7-bw125,7,125000,5,32,1,1,1,1,1,32,ZLP1,7,-249199.259369957,-182.703308571895,
sf8-bw125,8,125000,5,32,1,1,1,1,1,32,ZLP1,12,-249399.570111089,-9690.91540348741,
sf9-bw125,9,125000,5,32,1,1,1,1,1,32,ZLP1,13,-249545.126499079,-174.699030900431,
sf10-bw125,10,125000,5,32,1,1,1,1,1,32,ZLP1,15,-249549.97600332,-703.101465540833,
sf11-bw125,11,125000,5,32,1,1,1,1,1,32,ZLP1,16,-249607.781764147,-1068.7283501418,
sf12-bw125,12,125000,5,32,1,1,1,1,1,32,ZLP1,17,-249578.659996013,-108.391867122719,
sf7-bw250,7,250000,5,32,1,1,1,1,1,32,ZLP1,19,-251815.297008397,-27751.9269310639,
sf7-bw500,7,500000,5,32,0,0,0,0,0,0,,NaN,-209792.101930441,11000.2931052226,explicit-header checksum or fields invalid
sf7-cr46,7,125000,6,32,1,1,1,1,1,32,ZLP1,24,-249303.639633068,100.692381449011,
sf7-cr47,7,125000,7,32,1,1,1,1,1,32,ZLP1,29,-249128.372440934,24.6964449733035,
sf7-cr48,7,125000,8,32,1,1,1,1,1,32,ZLP1,30,-249315.503379782,-50.8980381811623,
sf7-power-m5,7,125000,5,32,1,1,1,1,1,32,ZLP1,34,-249099.372092252,-9732.9871609517,
sf7-power-m8,7,125000,5,32,1,1,1,1,1,32,ZLP1,36,-249273.087628831,170.676531660982,
sf7-power-m9,7,125000,5,32,0,1,1,1,0,32,jLP1,179,-249312.80741174,-16407.4167419999,payload CRC invalid
sf7-len12,7,125000,5,12,1,1,1,1,1,12,ZLP1,42,-249303.680237463,-36.2763581227281,
sf7-len64,7,125000,5,64,1,1,1,1,1,64,ZLP1,45,-249281.770012711,-5015.62906524531,
sf7-len128,7,125000,5,128,1,1,1,1,1,128,ZLP1,49,-249117.668222975,83.9855814415189,
sf7-len220,7,125000,5,220,1,1,1,1,1,220,ZLP1,50,-249120.618425693,-74.1812172529093,
sf7-preamble20,7,125000,5,32,1,1,1,1,1,32,ZLP1,55,-249129.095821784,-4107.4630225961,
sf7-preamble32,7,125000,5,32,1,1,1,1,1,32,ZLP1,58,-249235.485770179,-9541.9159399993,
sf7-crc-off,7,125000,5,32,1,1,1,1,1,32,ZLP1,59,-249350.424430614,105.973522120908,
sf7-sync34,7,125000,5,32,1,1,1,1,1,32,ZLP1,62,-249308.398292083,-21078.8141098568,
sf7-iq-inverted,7,125000,5,32,1,1,1,1,1,32,ZLP1,65,250118.219575203,-2923.97465757774,
sf7-bw62k5,7,62500,5,32,1,1,1,1,1,32,ZLP1,69,-249307.871028861,-4801.63116651984,
sf7-preamble8,7,125000,5,32,1,1,1,1,1,32,ZLP1,70,-249223.305916429,-144.245912337599,
