Name,Sequence,StartMilliseconds,PacketIndex,CandidatePresent,HardSuccess,SoftSuccess,SoftRecovered,DecoderMethod,Acquired,HeaderValid,CrcChecked,CrcValid,PayloadLengthValid,PayloadMatch,PacketError,ExpectedLength,DecodedLength,PreFecBitErrors,PreFecBits,ComparedPayloadBitErrors,ComparedPayloadBits,PayloadBitErrors,PayloadBits
sf5-bw125,1,360669,1,1,0,0,0,soft,1,1,1,0,1,0,1,32,32,38,350,22,256,22,256
sf5-bw125,2,361118,2,1,0,0,0,soft,1,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,3,361561,3,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf6-bw125,4,372403,1,1,0,0,0,soft,1,1,1,0,1,0,1,32,32,39,360,10,256,10,256
sf6-bw125,5,372861,2,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,6,373328,3,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf7-bw125,7,383435,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw125,8,383931,2,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw125,9,384421,3,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf8-bw125,10,394117,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,18,360,0,256,0,256
sf8-bw125,11,394671,2,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,18,360,0,256,0,256
sf8-bw125,12,395231,3,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,18,360,0,256,0,256
sf9-bw125,13,405189,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,20,360,0,256,0,256
sf9-bw125,14,405970,2,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,20,360,0,256,0,256
sf10-bw125,15,415468,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,10,350,0,256,0,256
sf11-bw125,16,426269,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,26,360,0,256,0,256
sf12-bw125,17,437226,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,18,350,0,256,0,256
sf7-bw250,19,474183,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw250,20,474641,2,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw250,21,475097,3,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw500,22,484665,1,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf7-bw500,23,484898,2,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf7-cr46,24,494369,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,5,420,0,256,0,256
