name,spreading_factor,bandwidth_hz,coding_rate,power_dbm,payload_length,preamble_symbols,crc_enabled,iq_inverted,packet_count,capture_bytes,sha256,estimated_snr_db,cfo_hz,packet_start_seconds,packet_end_seconds
sf5-bw125,5,125000,4/5,-9,32,12,True,False,3,16777216,27fa3d5b3b845d63928ae45c7510f2dd391b96c1054fda18bba78f3b3a29c2cf,52.16245861439617,2270.250079393387,1.166,1.191499
sf6-bw125,6,125000,4/5,-9,32,12,True,False,3,16777216,733a16a1e4636b3cbd7636359a49d8b6b634fa91594554955d0f594cdc091408,41.60974555433392,1043.4359488487244,0.235,0.279999
sf7-bw125,7,125000,4/5,-9,32,12,True,False,3,16777216,6c4a8963ec59ebf931554f427456246920ce9c192145f7605bd20762fce45733,55.659459063278625,800.7406258583069,0.252,0.328999
sf8-bw125,8,125000,4/5,-9,32,12,True,False,3,16777216,0d6d1a35cc52e56c3c845865aba6bd533e66ac0321877a01cb2e96cefec1b70d,56.072817951446766,602.7414993047714,1.3565,1.499499
sf9-bw125,9,125000,4/5,-9,32,12,True,False,2,16777216,591f234eaca349155a72ddae604bf323c9969785db59cd878c25ad0b7d0ce015,55.98487861757876,455.20950150489807,0.2735,0.537499
sf10-bw125,10,125000,4/5,-9,32,12,True,False,1,16777216,4b200a6833d8174f799ab6b4ae67fb5657b22279cab2e29d3754308168d2c4c7,52.543021337593004,450.54125475883484,0.2205,0.706999
sf11-bw125,11,125000,4/5,-9,32,12,True,False,1,16777216,6cce2a6b82600edd634d779beae576dc12f613330e71d1039c1f0863719ff0a9,48.486246829913725,392.2182641029358,0.229,1.282999
sf12-bw125,12,125000,4/5,-9,32,12,True,False,1,33554432,66ef6cbef9e43878ae075ff29af7b3a056df88504f059dd6a18010d3950bde2d,55.34531442209456,421.3921401500702,0.194,2.136499
sf7-bw250,7,250000,4/5,-9,32,12,True,False,3,16777216,9117bcc389794c7f067d1d073d3a910bb33d4c59bd8820d351be0bf19a01a380,56.040611950250835,-1810.8452731370926,0.2315,0.270499
sf7-bw500,7,500000,4/5,-9,32,12,True,False,2,16777216,2df3f31a304080a7f3bb1d1c1a9ac65beefead52449b38246f3b3cec79c992c0,41.84281052200389,40214.066366791725,0,0.7074995
sf7-cr46,7,125000,4/6,-9,32,12,True,False,3,16777216,2a81a78502d14cb935fb80712da62b73d70a3a3b5c03a7f5f4df3b90a64d4abe,55.433782193690675,705.6428874731064,0.2775,0.364499
sf7-cr47,7,125000,4/7,-9,32,12,True,False,3,16777216,f61f5e86950c0911d31ba8fafba16fdff3b7cae94234d68fffe1e7fe9c044331,56.02295364288914,873.3713200092316,1.2685,1.365999
sf7-cr48,7,125000,4/8,-9,32,12,True,False,3,16777216,096d65cf79fb87e7b9f4b848dd24819714ac379b74ad710c792b4bcb5d884cc5,56.11917323553499,688.6514358520508,0.2685,0.375999
sf7-power-m5,7,125000,4/5,-5,32,12,True,False,3,16777216,19ec56a9da48bb894b8c8a1b47faac6e3847aca9a27a4b24306df398b83bc2f0,59.35353764403831,902.439460515976,0.7535,0.830499
sf7-power-m8,7,125000,4/5,-8,32,12,True,False,3,16777216,5a78c10db6b7e1dfa42ad18777ae9d851b50d1305260db156e7b65c8902e4b9f,43.21126495356398,726.912371635437,0.2485,0.325499
sf7-power-m9,7,125000,4/5,-9,32,12,True,False,3,16777216,017f0b8d013143dcfd7b2d96adec244be37528a805ec7ffbe364b939fa705d9e,55.77350309814762,697.4289890527725,1.25,1.326999
sf7-len12,7,125000,4/5,-9,12,12,True,False,3,16777216,3c0bfac864893a2b4209db7f2d7f883fc91405ec745fbd2662927ed21da6155f,54.53227088115284,716.4313719272614,0.2775,0.323499
sf7-len64,7,125000,4/5,-9,64,12,True,False,3,16777216,399938fe547109af97f3da316abc727e8da3bc2399ff4e52f8b8bce9da432909,54.41343075686113,719.224510550499,0.252,0.374999
sf7-len128,7,125000,4/5,-9,128,12,True,False,2,16777216,2778563174d30b5d1a425a6c95ea09416c0bddc8ac188992b4e4c28095d2f1c5,54.98326602514251,883.287290930748,0.8875,1.107499
sf7-len220,7,125000,4/5,-9,220,12,True,False,2,16777216,4898ba862f0fdbf0d13d4f883687da15f9fd85f9bec22a9c81a489e6f7e12ab3,43.01005319541589,879.3815747499466,0.266,0.618999
sf7-preamble20,7,125000,4/5,-9,32,20,True,False,3,16777216,400df07a59ab867cc6c511d8208ba685626b978cfe2d4fea0f94a5e6e3399f9d,56.18247704586479,872.6786901950836,1.2285,1.313499
sf7-preamble32,7,125000,4/5,-9,32,32,True,False,3,16777216,89dee58c5fb40bf94d52deb16fe70907dfdab40b81bc417fc78acd7c814f6eab,55.947547269925685,765.9069563150406,1.2785,1.375999
sf7-crc-off,7,125000,4/5,-9,32,12,False,False,3,16777216,b8d5939e3b8461bf85d9248907fa592326db8e04fd09794af99b021cf8dd10ff,43.13731093076748,649.5755697488785,0.2515,0.328499
sf7-sync34,7,125000,4/5,-9,32,12,True,False,3,16777216,76286a53fd45bfdd85322247f2406425fa98ac03be44eda121222ef1dca836b8,56.09476391136929,699.0684340000153,0.244,0.320999
sf7-iq-inverted,7,125000,4/5,-9,32,12,True,True,3,16777216,e7d188fffc13b6f3da6c5a1f4dd29f337001ba9092219d5025390c4d074929f3,56.199009005197745,-117.73526561260223,0.2745,0.351499
