Name,Sequence,StartMilliseconds,PacketIndex,CandidatePresent,HardSuccess,SoftSuccess,SoftRecovered,DecoderMethod,Acquired,HeaderValid,CrcChecked,CrcValid,PayloadLengthValid,PayloadMatch,PacketError,ExpectedLength,DecodedLength,PreFecBitErrors,PreFecBits,ComparedPayloadBitErrors,ComparedPayloadBits,PayloadBitErrors,PayloadBits
baseline-sf7-bw125,0,65338,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
baseline-sf7-bw125,1,65842,2,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
baseline-sf7-bw125,2,66342,3,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
baseline-sf7-bw125,3,66840,4,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
baseline-sf7-bw125,4,67338,5,1,0,1,1,soft,1,1,1,1,1,1,0,32,32,15,350,0,256,0,256
baseline-sf7-bw125,5,67936,6,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
baseline-sf7-bw125,6,68436,7,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
baseline-sf7-bw125,7,68938,8,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
baseline-sf7-bw125,8,69438,9,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
baseline-sf7-bw125,9,69938,10,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,10,444084,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,11,444373,2,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,12,444668,3,1,0,0,0,soft,1,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,13,444965,4,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,14,445262,5,1,0,0,0,soft,1,1,1,0,1,0,1,32,32,32,350,13,256,13,256
sf5-bw125,15,445557,6,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,16,445950,7,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,17,446249,8,1,0,0,0,soft,1,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,18,446546,9,1,0,0,0,soft,1,1,1,0,1,0,1,32,32,42,350,20,256,20,256
sf5-bw125,19,446843,10,1,0,0,0,soft,1,1,1,0,1,0,1,32,32,121,350,78,256,78,256
sf5-bw125,20,447138,11,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,21,447437,12,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,22,447732,13,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,23,448031,14,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,24,448322,15,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,25,448621,16,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,26,448918,17,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,27,449213,18,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,28,449512,19,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,29,449807,20,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,30,450104,21,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,31,450399,22,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,32,450696,23,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,33,450995,24,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,34,451294,25,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,35,451591,26,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,36,451890,27,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,37,452187,28,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf5-bw125,38,452486,29,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf5-bw125,39,452781,30,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf6-bw125,40,612109,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,41,612473,2,1,0,0,0,soft,1,1,1,0,1,0,1,32,32,159,360,98,256,98,256
sf6-bw125,42,612836,3,1,0,0,0,soft,1,1,1,0,1,0,1,32,32,134,360,75,256,75,256
sf6-bw125,43,613196,4,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf6-bw125,44,613557,5,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf6-bw125,45,613918,6,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf6-bw125,46,614279,7,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf6-bw125,47,614642,8,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf6-bw125,48,615005,9,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf6-bw125,49,615366,10,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,50,615729,11,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,51,616092,12,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,52,616449,13,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,53,616807,14,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,54,617170,15,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,55,617529,16,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,56,617892,17,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf6-bw125,57,618251,18,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,58,618610,19,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,59,618971,20,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,60,619328,21,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,61,619689,22,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,62,620052,23,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,63,620409,24,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,64,620770,25,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,65,621125,26,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,66,621484,27,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf6-bw125,67,621847,28,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,68,622210,29,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf6-bw125,69,622573,30,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,14,360,0,256,0,256
sf7-bw500-fs4m,70,779848,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw500-fs4m,71,780137,2,0,0,0,0,none,0,0,1,0,0,0,1,32,0,0,0,0,0,256,256
sf7-bw500-fs4m,72,780420,3,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw500-fs4m,73,780715,4,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw500-fs4m,74,781010,5,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw500-fs4m,75,781291,6,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw500-fs4m,76,781572,7,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw500-fs4m,77,781855,8,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw500-fs4m,78,782150,9,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
sf7-bw500-fs4m,79,782433,10,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
toa-sf7-bw125,80,965193,1,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
toa-sf7-bw125,81,965493,2,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
toa-sf7-bw125,82,965791,3,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
toa-sf7-bw125,83,966085,4,1,1,1,0,soft,1,1,1,1,1,1,0,32,32,6,350,0,256,0,256
toa-sf7-bw125,84,966387,5,1,0,1,1,soft,1,1,1,1,1,1,0,32,32,17,350,0,256,0,256
