Sequence,TxStartMilliseconds,RxToaSamples,PeakScore,PeakToSidelobeDb,FittedRxToaSamples,ResidualSamples
80,965193,108787.32766246,0.0349101913169573,1.57304647554174,108776.728681207,10.5989812530752
81,965493,408771.717658575,0.0744100812919282,1.66580486003012,408778.214518547,-6.49685997184133
82,965791,706785.010176482,0.083217162544404,2.03204654340251,706779.690450191,5.31972629006486
83,966085,1000779.84501589,0.00236900107864668,0.857292236265222,1000781.1465708,-1.30155491281766
84,966387,1302795.76729568,0.00737066244927364,1.62869459351825,1302782.64231372,13.1249819628429
85,966685,1600782.67965855,0.0819285275939865,1.60962146417853,1600784.11824548,-1.43858693563379
86,966981,1896801.86242544,0.0833591942174338,1.87630013482007,1896785.58427155,16.2781538884155
87,967277,2192775.7728187,0.0760388411461856,1.73657408129392,2192787.05029774,-11.2774790371768
88,967575,2490807.50501694,0.048461239324682,1.36534824052563,2490788.5262295,18.9787874356844
89,967873,2788791.34876465,0.0792170829484504,1.56116022922164,2788790.00216115,1.34660350019112
90,968169,3084807.94946891,0.0780915502177884,1.9969539205347,3084791.46818733,16.4812815790065
91,968465,3380801.0490191,0.0705804620917603,1.9901846103209,3380792.93421352,8.11480557639152
92,968763,3678812.60726807,0.0810196033850007,1.50519860915447,3678794.41014516,18.197122911457
93,969061,3976794.53320162,0.0402390923428115,1.40279305585032,3976795.88607693,-1.35287531185895
94,969357,4272766.59248858,0.0819804202230544,1.48939246903608,4272797.35210311,-30.7596145365387
95,969653,4568808.39803312,0.0516991850754631,1.48749310999241,4568798.8181293,9.57990381773561
96,969947,4862815.80862904,0.0212136978336897,1.78073520302381,4862800.27424979,15.5343792522326
97,970245,5160814.33303633,0.08393347646007,1.57687445222664,5160801.75018156,12.5828547729179
98,970543,5458801.52321095,0.0829751704591499,1.38674332203241,5458803.22611332,-1.7029023738578
99,970841,5756814.47798937,0.0833878912173349,1.38538169230645,5756804.70204496,9.77594440151006
100,971134,6049811.92905644,0.0361035163248431,1.9596569843027,6049806.15321279,5.77584365103394
101,971432,6347811.54210395,0.0786739872005814,1.41901183488534,6347807.62914455,3.91295939870179
102,971730,6645830.11142872,0.00745049483821909,1.70001268212618,6645809.10507619,21.0063525242731
103,972024,6939819.21538364,0.0833378622162677,1.75099047914773,6939810.5611968,8.65418683364987
104,972321,7236820.31392493,0.0735431382554846,1.60698703571113,7236812.03217578,8.28174915537238
105,972618,7533781.92952153,0.0136909914382254,1.89985482381581,7533813.50315464,-31.5736331008375
106,972918,7833781.21068191,0.0766728328127871,1.75148399853826,7833814.98899198,-33.7783100642264
107,973212,8127789.00030873,0.0434282202493055,2.0677466192644,8127816.44511259,-27.4448038600385
108,973510,8425794.62832473,0.0491225718388598,1.52630900070349,8425817.92104423,-23.2927195001394
109,973806,8721789.08268789,0.0771998517265128,1.93024167020795,8721819.38707042,-30.3043825253844
110,974101,9016796.85541151,0.0725491531618507,1.86025390596605,9016820.84814382,-23.9927323013544
111,974397,9312788.5999305,0.0783678240581082,1.48992527873983,9312822.31416988,-33.714239384979
112,974697,9612799.29766347,0.0823325475899144,1.62495246473985,9612823.80000722,-24.5023437570781
113,974995,9910794.09998627,0.0615872406517202,1.92306722276047,9910825.27593899,-31.1759527195245
114,975291,10206800.6084088,0.0405555662400285,1.51583715460516,10206826.7419652,-26.1335564088076
115,975589,10504794.749187,0.0791193017445935,1.70075259930888,10504828.2178968,-33.4687098246068
116,975887,10802812.104442,0.0830200247264302,1.90691574147381,10802829.6938286,-17.5893866214901
117,976185,11100837.9057152,0.0522161009000709,1.94695210894989,11100831.1697603,6.73595488443971
118,976485,11400856.425815,0.0657765093819012,1.45800408490119,11400832.6555976,23.7702174093574
119,976783,11698841.3866405,0.0815710433003833,1.50545019968269,11698834.1315293,7.25511112064123
120,977080,11995846.4455577,0.00802342439723262,1.47950827162316,11995835.6025083,10.8430494200438
121,977380,12295852.2679913,0.0698910903208958,1.67165601191109,12295837.0883456,15.1796456817538
122,977674,12589858.021298,0.0470282003841574,2.02127724533522,12589838.5444661,19.4768318347633
123,977970,12885840.355371,0.038514654217751,1.56192651655768,12885840.0104923,0.344878690317273
124,978267,13182870.8513671,0.0828261189923566,1.85385477005098,13182841.4814713,29.3698958195746
125,978562,13477852.1051325,0.0563474138228576,1.90957432986593,13477842.9425446,9.16258796863258
126,978858,13773865.1227486,0.0833475130244776,1.87741661328072,13773844.4085708,20.7141778171062
127,979158,14073860.5990952,0.0722340448684866,1.49759235623166,14073845.8944081,14.7046871427447
128,979452,14367865.834254,0.0836645887450704,1.83213241374117,14367847.3505286,18.4837253913283
129,979750,14665860.5417431,0.0806542794629865,1.41796596666456,14665848.8264604,11.7152826935053
