SNR_dB,BER,SER,BitErrors,SymbolErrors,Bits,Symbols,BER_Lower95,BER_Upper95,SER_Lower95,SER_Upper95,SpreadingFactor,SamplesPerChip,DemodulationMode,EsN0_dB,EbN0_dB
-20,0.458964285714286,0.9175,12851,3670,28000,4000,0.453133557135654,0.46480627253453,0.908568060034564,0.925630804818536,7,1,single-phase,1.07209969647868,-7.37888070366389
-18,0.430464285714286,0.85025,12053,3401,28000,4000,0.424674613262953,0.436273035447097,0.838856198291857,0.860971711683707,7,1,single-phase,3.07209969647868,-5.37888070366389
-16,0.347321428571429,0.69375,9725,2775,28000,4000,0.34176592239142,0.352918822465007,0.679285495300652,0.707842720424589,7,1,single-phase,5.07209969647868,-3.37888070366389
-14,0.243214285714286,0.47525,6810,1901,28000,4000,0.238224569669092,0.248274451504642,0.459805272886011,0.490742219556829,7,1,single-phase,7.07209969647868,-1.37888070366389
-12,0.100928571428571,0.19925,2826,797,28000,4000,0.0974547690237661,0.104511859988098,0.18716269301255,0.211914412126205,7,1,single-phase,9.07209969647868,0.621119296336115
-10,0.02025,0.03925,567,157,28000,4000,0.0186647811810371,0.0219668393233811,0.033660854089479,0.0457232729019809,7,1,single-phase,11.0720996964787,2.62111929633611
-8,0.00110714285714286,0.002,31,8,28000,4000,0.000780118626658292,0.00157103947847215,0.00101378626859103,0.00394181924795165,7,1,single-phase,13.0720996964787,4.62111929633611
-6,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,1,single-phase,15.0720996964787,6.62111929633611
-4,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,1,single-phase,17.0720996964787,8.62111929633611
-20,0.458964285714286,0.9175,12851,3670,28000,4000,0.453133557135654,0.46480627253453,0.908568060034564,0.925630804818536,7,1,polyphase,1.07209969647868,-7.37888070366389
-18,0.430464285714286,0.85025,12053,3401,28000,4000,0.424674613262953,0.436273035447097,0.838856198291857,0.860971711683707,7,1,polyphase,3.07209969647868,-5.37888070366389
-16,0.347321428571429,0.69375,9725,2775,28000,4000,0.34176592239142,0.352918822465007,0.679285495300652,0.707842720424589,7,1,polyphase,5.07209969647868,-3.37888070366389
-14,0.243214285714286,0.47525,6810,1901,28000,4000,0.238224569669092,0.248274451504642,0.459805272886011,0.490742219556829,7,1,polyphase,7.07209969647868,-1.37888070366389
-12,0.100928571428571,0.19925,2826,797,28000,4000,0.0974547690237661,0.104511859988098,0.18716269301255,0.211914412126205,7,1,polyphase,9.07209969647868,0.621119296336115
-10,0.02025,0.03925,567,157,28000,4000,0.0186647811810371,0.0219668393233811,0.033660854089479,0.0457232729019809,7,1,polyphase,11.0720996964787,2.62111929633611
