waveform,harmonic_coefficients,doppler_hz,up_delay_samples,down_delay_samples,paired_timing_delay_samples,paired_timing_bias_m,doppler_displacement_samples,mean_normalized_peak
lfm,0;0,-500.0,4.072491707733889,-4.072491707733775,5.684341886080802e-14,1.7041228261405195e-11,4.072491707733832,0.9958783404902793
lfm,0;0,-475.0,3.87182705428836,-3.871827054288474,-5.684341886080802e-14,-1.7041228261405195e-11,3.871827054288417,0.9957710849197521
lfm,0;0,-450.0,3.6682099075385395,-3.6682099075385395,0.0,0.0,3.6682099075385395,0.9935348766612471
lfm,0;0,-425.0,3.457984658009991,-3.457984658009991,0.0,0.0,3.457984658009991,0.9912432396150641
lfm,0;0,-400.0,3.2515160329915034,-3.2515160329913897,5.684341886080802e-14,1.7041228261405195e-11,3.2515160329914465,0.9951605621566906
lfm,0;0,-375.0,3.0500029319671285,-3.0500029319671285,0.0,0.0,3.0500029319671285,0.9969487844841709
lfm,0;0,-350.0,2.84922257086464,-2.84922257086464,0.0,0.0,2.84922257086464,0.9966010107726972
lfm,0;0,-325.0,2.645010973968965,-2.645010973968965,0.0,0.0,2.645010973968965,0.9941185822339826
lfm,0;0,-300.0,2.434440529542826,-2.4344405295429397,-5.684341886080802e-14,-1.7041228261405195e-11,2.434440529542883,0.9927504657459075
lfm,0;0,-275.0,2.2287433564345065,-2.2287433564345065,0.0,0.0,2.2287433564345065,0.9964398530366974
lfm,0;0,-250.0,2.0275248474565615,-2.0275248474565615,0.0,0.0,2.0275248474565615,0.9979927025895973
lfm,0;0,-225.0,1.826576359313549,-1.826576359313549,0.0,0.0,1.826576359313549,0.9974030143758275
lfm,0;0,-200.0,1.6217127742795583,-1.6217127742795583,0.0,0.0,1.6217127742795583,0.9946730670073147
lfm,0;0,-175.0,1.4110065253360062,-1.4110065253358925,5.684341886080802e-14,1.7041228261405195e-11,1.4110065253359494,0.9942339641100648
lfm,0;0,-150.0,1.20602702129122,-1.20602702129122,0.0,0.0,1.20602702129122,0.9976938564103743
lfm,0;0,-125.0,1.005051719926314,-1.0050517199262003,5.684341886080802e-14,1.7041228261405195e-11,1.0050517199262572,0.9990098544379797
lfm,0;0,-100.0,0.8038822198748221,-0.8038822198748221,0.0,0.0,0.8038822198748221,0.9981768632855403
lfm,0;0,-86.8600903895988,0.6966587706078826,-0.6966587706078826,0.0,0.0,0.6966587706078826,0.9968782204955835
lfm,0;0,-75.0,0.5983081348274482,-0.5983081348274482,0.0,0.0,0.5983081348274482,0.9951981079807379
lfm,0;0,-50.0,0.3911403211901643,-0.3911403211901643,0.0,0.0,0.3911403211901643,0.9956934829508532
lfm,0;0,-25.0,0.19356510855811848,-0.19356510855811848,0.0,0.0,0.19356510855811848,0.9989223256239563
lfm,0;0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
lfm,0;0,25.0,-0.19356510855811848,0.19356510855811848,0.0,0.0,-0.19356510855811848,0.9989223256239563
lfm,0;0,50.0,-0.3911403211901643,0.3911403211901643,0.0,0.0,-0.3911403211901643,0.9956934829508531
lfm,0;0,75.0,-0.5983081348274482,0.5983081348274482,0.0,0.0,-0.5983081348274482,0.9951981079807379
lfm,0;0,86.8600903895988,-0.6966587706078826,0.6966587706078826,0.0,0.0,-0.6966587706078826,0.9968782204955835
lfm,0;0,100.0,-0.8038822198748221,0.8038822198748221,0.0,0.0,-0.8038822198748221,0.9981768632855403
lfm,0;0,125.0,-1.0050517199262003,1.005051719926314,5.684341886080802e-14,1.7041228261405195e-11,-1.0050517199262572,0.9990098544379797
lfm,0;0,150.0,-1.20602702129122,1.20602702129122,0.0,0.0,-1.20602702129122,0.9976938564103742
lfm,0;0,175.0,-1.4110065253358925,1.4110065253360062,5.684341886080802e-14,1.7041228261405195e-11,-1.4110065253359494,0.994233964110065
lfm,0;0,200.0,-1.6217127742795583,1.6217127742795583,0.0,0.0,-1.6217127742795583,0.9946730670073147
lfm,0;0,225.0,-1.826576359313549,1.826576359313549,0.0,0.0,-1.826576359313549,0.9974030143758275
lfm,0;0,250.0,-2.0275248474565615,2.0275248474565615,0.0,0.0,-2.0275248474565615,0.9979927025895972
lfm,0;0,275.0,-2.2287433564345065,2.2287433564345065,0.0,0.0,-2.2287433564345065,0.9964398530366974
lfm,0;0,300.0,-2.4344405295429397,2.434440529542826,-5.684341886080802e-14,-1.7041228261405195e-11,-2.434440529542883,0.9927504657459074
lfm,0;0,325.0,-2.645010973968965,2.645010973968965,0.0,0.0,-2.645010973968965,0.9941185822339826
lfm,0;0,350.0,-2.84922257086464,2.84922257086464,0.0,0.0,-2.84922257086464,0.9966010107726972
lfm,0;0,375.0,-3.0500029319671285,3.0500029319671285,0.0,0.0,-3.0500029319671285,0.9969487844841709
lfm,0;0,400.0,-3.2515160329913897,3.2515160329915034,5.684341886080802e-14,1.7041228261405195e-11,-3.2515160329914465,0.9951605621566904
lfm,0;0,425.0,-3.457984658009991,3.457984658009991,0.0,0.0,-3.457984658009991,0.9912432396150641
lfm,0;0,450.0,-3.6682099075385395,3.6682099075385395,0.0,0.0,-3.6682099075385395,0.9935348766612471
lfm,0;0,475.0,-3.871827054288474,3.87182705428836,-5.684341886080802e-14,-1.7041228261405195e-11,-3.871827054288417,0.9957710849197521
lfm,0;0,500.0,-4.072491707733775,4.072491707733889,5.684341886080802e-14,1.7041228261405195e-11,-4.072491707733832,0.9958783404902793
balanced_knee,0.1;-0.05,-500.0,3.628823926389032,-3.6288239263891455,-5.684341886080802e-14,-1.7041228261405195e-11,3.6288239263890887,0.9904427301767615
balanced_knee,0.1;-0.05,-475.0,3.4404052716472506,-3.4404052716472506,0.0,0.0,3.4404052716472506,0.9889944302555655
balanced_knee,0.1;-0.05,-450.0,3.25627336726302,-3.256273367263134,-5.684341886080802e-14,-1.7041228261405195e-11,3.256273367263077,0.993403939494051
balanced_knee,0.1;-0.05,-425.0,3.077358103266306,-3.077358103266306,0.0,0.0,3.077358103266306,0.9956958045742723
balanced_knee,0.1;-0.05,-400.0,2.8999584094708553,-2.8999584094708553,0.0,0.0,2.8999584094708553,0.9958584278221069
balanced_knee,0.1;-0.05,-375.0,2.7204851325395794,-2.7204851325395794,0.0,0.0,2.7204851325395794,0.9938884097554039
balanced_knee,0.1;-0.05,-350.0,2.5351911998577634,-2.5351911998577634,0.0,0.0,2.5351911998577634,0.989790574912193
balanced_knee,0.1;-0.05,-325.0,2.347272517315787,-2.347272517315787,0.0,0.0,2.347272517315787,0.9930783285772764
balanced_knee,0.1;-0.05,-300.0,2.1661986095946304,-2.1661986095946304,0.0,0.0,2.1661986095946304,0.9963991798768577
balanced_knee,0.1;-0.05,-275.0,1.9884125060621045,-1.9884125060621045,0.0,0.0,1.9884125060621045,0.9975857641368338
balanced_knee,0.1;-0.05,-250.0,1.810294125428527,-1.810294125428527,0.0,0.0,1.810294125428527,0.9966316303326703
balanced_knee,0.1;-0.05,-225.0,1.6281980555427253,-1.6281980555427253,0.0,0.0,1.6281980555427253,0.9935385964593078
balanced_knee,0.1;-0.05,-200.0,1.4394518920692008,-1.4394518920692008,0.0,0.0,1.4394518920692008,0.9920515142443889
balanced_knee,0.1;-0.05,-175.0,1.2553272579632448,-1.2553272579632448,0.0,0.0,1.2553272579632448,0.9963980580025711
balanced_knee,0.1;-0.05,-150.0,1.0763184620609536,-1.0763184620609536,0.0,0.0,1.0763184620609536,0.9986072009245713
balanced_knee,0.1;-0.05,-125.0,0.8987101664697548,-0.8987101664697548,0.0,0.0,0.8987101664697548,0.9986694496302463
balanced_knee,0.1;-0.05,-100.0,0.7188937077602304,-0.7188937077602304,0.0,0.0,0.7188937077602304,0.996583618956127
balanced_knee,0.1;-0.05,-86.8600903895988,0.6222382241153355,-0.6222382241153355,0.0,0.0,0.6222382241153355,0.9946281722217265
balanced_knee,0.1;-0.05,-75.0,0.5330945560764349,-0.5330945560764349,0.0,0.0,0.5330945560764349,0.9923568408996062
balanced_knee,0.1;-0.05,-50.0,0.34896995954102294,-0.34896995954102294,0.0,0.0,0.34896995954102294,0.9956934829508531
balanced_knee,0.1;-0.05,-25.0,0.17273074559534507,-0.17273074559534507,0.0,0.0,0.17273074559534507,0.9989223256239566
balanced_knee,0.1;-0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004
balanced_knee,0.1;-0.05,25.0,-0.17273074559534507,0.17273074559534507,0.0,0.0,-0.17273074559534507,0.9989223256239563
balanced_knee,0.1;-0.05,50.0,-0.34896995954102294,0.34896995954102294,0.0,0.0,-0.34896995954102294,0.9956934829508532
balanced_knee,0.1;-0.05,75.0,-0.5330945560764349,0.5330945560764349,0.0,0.0,-0.5330945560764349,0.9923568408996062
balanced_knee,0.1;-0.05,86.8600903895988,-0.6222382241153355,0.6222382241153355,0.0,0.0,-0.6222382241153355,0.9946281722217265
balanced_knee,0.1;-0.05,100.0,-0.7188937077602304,0.7188937077602304,0.0,0.0,-0.7188937077602304,0.9965836189561269
balanced_knee,0.1;-0.05,125.0,-0.8987101664697548,0.8987101664697548,0.0,0.0,-0.8987101664697548,0.9986694496302462
balanced_knee,0.1;-0.05,150.0,-1.0763184620609536,1.0763184620609536,0.0,0.0,-1.0763184620609536,0.9986072009245714
