SNR_dB,SpreadingFactor,SamplesPerChip,CodingRate,Packets,PayloadBytes,SymbolErrors,Symbols,PreFecBitErrors,PreFecBits,PayloadBitErrors,HardPayloadBitErrors,SoftPayloadBitErrors,PayloadBits,PacketErrors,HardPacketErrors,SoftPacketErrors,HardSuccessPackets,SoftSuccessPackets,SoftRecoveredPackets,HeaderFailures,CrcFailures,UndetectedErrors,SER,PreFecBER,PayloadBER,HardPayloadBER,SoftPayloadBER,PER,HardPER,SoftPER,SoftRecoveryRate,PreFecBER_Lower95,PreFecBER_Upper95,PayloadBER_Lower95,PayloadBER_Upper95,HardPayloadBER_Lower95,HardPayloadBER_Upper95,SoftPayloadBER_Lower95,SoftPayloadBER_Upper95,PER_Lower95,PER_Upper95,HardPER_Lower95,HardPER_Upper95,SoftPER_Lower95,SoftPER_Upper95,DemodulationMode,SelectedDecoder,EbN0_dB
-20,5,8,1,200,16,5986,9600,15343,48000,24116,24639,24665,25600,200,200,200,0,0,0,175,25,0,0.623541666666667,0.319645833333333,0.94203125,0.9624609375,0.9634765625,1,1,1,0,0.315488549926495,0.323831982059418,0.939101795976447,0.944828064173625,0.960062273144481,0.964720831690858,0.961108227550398,0.965705822527422,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,fft-correlator,soft-preferred,-0.177287669604315
-18,5,8,1,200,16,3975,9600,10226,48000,16964,21189,17519,25600,200,200,200,0,0,0,113,87,0,0.4140625,0.213041666666667,0.66265625,0.8276953125,0.6843359375,1,1,1,0,0.209401715778462,0.216727544655172,0.656840495244303,0.668423196666699,0.823020165848336,0.83227212796564,0.678615192774705,0.690001368735386,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,fft-correlator,soft-preferred,1.82271233039569
-16,5,8,1,200,16,1911,9600,4928,48000,4983,10653,5102,25600,199,200,199,0,1,1,22,177,0,0.1990625,0.102666666666667,0.1946484375,0.4161328125,0.199296875,0.995,1,0.995,0.005,0.0999830773160659,0.105413848412864,0.189844347038797,0.199544154481783,0.410107723901082,0.422183067037218,0.194448711677749,0.204235269991104,0.972226295602107,0.999116831284399,0.981154673622734,1,0.972226295602107,0.999116831284399,fft-correlator,soft-preferred,3.82271233039569
-14,5,8,1,200,16,413,9600,1085,48000,167,1543,167,25600,61,157,61,43,139,96,0,60,1,0.0430208333333333,0.0226041666666667,0.0065234375,0.0602734375,0.0065234375,0.305,0.785,0.305,0.48,0.0213121641955911,0.0239725753743762,0.00560861936065721,0.00758633262981082,0.0574235262528618,0.0632552970319239,0.00560861936065721,0.00758633262981082,0.24536415630735,0.371985520979784,0.722976926510034,0.836281237454924,0.24536415630735,0.371985520979784,fft-correlator,soft-preferred,5.82271233039569
-12,5,8,1,200,16,41,9600,108,48000,1,85,1,25600,1,27,1,173,199,26,0,1,0,0.00427083333333333,0.00225,3.90625e-05,0.0033203125,3.90625e-05,0.005,0.135,0.005,0.13,0.00186411438749283,0.00271554949230899,6.89552370722491e-06,0.000221252226312594,0.00268626938786756,0.00410339376093328,6.89552370722491e-06,0.000221252226312594,0.00088316871560098,0.0277737043978929,0.0944657045478791,0.189291383707525,0.00088316871560098,0.0277737043978929,fft-correlator,soft-preferred,7.82271233039569
-10,5,8,1,200,16,0,9600,0,48000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00239877466774e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,9.82271233039569
-8,5,8,1,200,16,0,9600,0,48000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00239877466774e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,11.8227123303957
-6,5,8,1,200,16,0,9600,0,48000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00239877466774e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,13.8227123303957
-4,5,8,1,200,16,0,9600,0,48000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00239877466774e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,15.8227123303957
-20,6,8,1,200,16,2939,7600,8910,45600,13924,18349,14975,25600,200,200,200,0,0,0,83,117,0,0.386710526315789,0.195394736842105,0.54390625,0.7167578125,0.5849609375,1,1,1,0,0.191781194442116,0.199059596347739,0.53779888956606,0.550000435531914,0.711206191475471,0.722244391236861,0.578912813276657,0.590983567584638,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,fft-correlator,soft-preferred,1.81843587944773
-18,6,8,1,200,16,1147,7600,3538,45600,2197,6813,2310,25600,172,198,172,2,28,26,7,164,1,0.150921052631579,0.0775877192982456,0.0858203125,0.2661328125,0.090234375,0.86,0.99,0.86,0.13,0.0751677331333563,0.0800788696164064,0.0824510044788126,0.0893139029821969,0.260754594398994,0.271581206880744,0.086785807048375,0.0938059008895661,0.805101191342925,0.901330173665444,0.964278238283823,0.997253341866456,0.805101191342925,0.901330173665444,fft-correlator,soft-preferred,3.81843587944773
-16,6,8,1,200,16,187,7600,583,45600,44,481,44,25600,17,97,17,103,183,80,0,17,0,0.0246052631578947,0.0127850877192982,0.00171875,0.0187890625,0.00171875,0.085,0.485,0.085,0.4,0.0117942018247863,0.0138580551210904,0.0012806570526273,0.00230636167533995,0.0171965526023523,0.0205259688549877,0.0012806570526273,0.00230636167533995,0.0537457501774757,0.131895870715656,0.416673851718775,0.553891508072543,0.0537457501774757,0.131895870715656,fft-correlator,soft-preferred,5.81843587944773
-14,6,8,1,200,16,8,7600,28,45600,0,24,0,25600,0,6,0,194,200,6,0,0,0,0.00105263157894737,0.000614035087719298,0,0.0009375,0,0,0.03,0,0.03,0.000424884095071716,0.000887318055151301,0,0.000150034471462902,0.000630104485845768,0.00139464867098314,0,0.000150034471462902,0,0.0188453263772665,0.0138203143401114,0.0638942924545191,0,0.0188453263772665,fft-correlator,soft-preferred,7.81843587944773
-12,6,8,1,200,16,0,7600,0,45600,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42354217936414e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,9.81843587944773
-10,6,8,1,200,16,0,7600,0,45600,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42354217936414e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,11.8184358794477
-8,6,8,1,200,16,0,7600,0,45600,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42354217936414e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,13.8184358794477
-6,6,8,1,200,16,0,7600,0,45600,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42354217936414e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,15.8184358794477
-4,6,8,1,200,16,0,7600,0,45600,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42354217936414e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,17.8184358794477
-20,7,8,1,200,16,736,7600,2427,50000,1087,4532,1087,25600,111,190,111,10,89,79,3,108,0,0.0968421052631579,0.04854,0.0424609375,0.17703125,0.0424609375,0.555,0.95,0.555,0.395,0.0466907508774614,0.0504586143932296,0.040058791779972,0.0450003764828596,0.172404126460936,0.181755286430475,0.040058791779972,0.0450003764828596,0.485733024128034,0.622193989970466,0.910421851861224,0.972617354399236,0.485733024128034,0.622193989970466,fft-correlator,soft-preferred,4.82873583608754
-18,7,8,1,200,16,60,7600,188,50000,5,275,5,25600,2,38,2,162,198,36,0,2,0,0.00789473684210526,0.00376,0.0001953125,0.0107421875,0.0001953125,0.01,0.19,0.01,0.18,0.00326032843374961,0.00433591712937382,8.34286196133682e-05,0.000457172244634119,0.00955077145694051,0.0120804146176746,8.34286196133682e-05,0.000457172244634119,0.00274665813354444,0.0357217617161767,0.141671715277907,0.250012387075998,0.00274665813354444,0.0357217617161767,fft-correlator,soft-preferred,6.82873583608754
-16,7,8,1,200,16,1,7600,6,50000,0,11,0,25600,0,1,0,199,200,1,0,0,0,0.000131578947368421,0.00012,0,0.0004296875,0,0,0.005,0,0.005,5.49981999325067e-05,0.000261806636626699,0,0.000150034471462902,0.000239955260115347,0.000769325275473642,0,0.000150034471462902,0,0.0188453263772665,0.00088316871560098,0.0277737043978929,0,0.0188453263772665,fft-correlator,soft-preferred,8.82873583608754
-14,7,8,1,200,16,0,7600,0,50000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,7.68232741450002e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,10.8287358360875
-12,7,8,1,200,16,0,7600,0,50000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,7.68232741450002e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,12.8287358360875
-10,7,8,1,200,16,0,7600,0,50000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,7.68232741450002e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,14.8287358360875
-8,7,8,1,200,16,0,7600,0,50000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,7.68232741450002e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,16.8287358360875
-6,7,8,1,200,16,0,7600,0,50000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,7.68232741450002e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,18.8287358360875
-4,7,8,1,200,16,0,7600,0,50000,0,0,0,25600,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,7.68232741450002e-05,0,0.000150034471462902,0,0.000150034471462902,0,0.000150034471462902,0,0.0188453263772665,0,0.0188453263772665,0,0.0188453263772665,fft-correlator,soft-preferred,20.8287358360875
