SNR_dB,SpreadingFactor,SamplesPerChip,CodingRate,Packets,PayloadBytes,SymbolErrors,Symbols,PreFecBitErrors,PreFecBits,PayloadBitErrors,HardPayloadBitErrors,SoftPayloadBitErrors,PayloadBits,PacketErrors,HardPacketErrors,SoftPacketErrors,HardSuccessPackets,SoftSuccessPackets,SoftRecoveredPackets,HeaderFailures,CrcFailures,UndetectedErrors,SER,PreFecBER,PayloadBER,HardPayloadBER,SoftPayloadBER,PER,HardPER,SoftPER,SoftRecoveryRate,PreFecBER_Lower95,PreFecBER_Upper95,PayloadBER_Lower95,PayloadBER_Upper95,HardPayloadBER_Lower95,HardPayloadBER_Upper95,SoftPayloadBER_Lower95,SoftPayloadBER_Upper95,PER_Lower95,PER_Upper95,HardPER_Lower95,HardPER_Upper95,SoftPER_Lower95,SoftPER_Upper95,DemodulationMode,SelectedDecoder,EbN0_dB
-20,5,8,1,200,16,8635,9600,21925,48000,25600,25600,25600,25600,200,200,200,0,0,0,200,0,0,0.899479166666667,0.456770833333333,1,1,1,1,1,1,0,0.452318233546883,0.461230351860391,0.999849965528537,1,0.999849965528537,1,0.999849965528537,1,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,polyphase,soft-preferred,-0.177287669604315
-18,5,8,1,200,16,8097,9600,20535,48000,25535,25535,25600,25600,200,200,200,0,0,0,198,2,0,0.8434375,0.4278125,0.9974609375,0.9974609375,1,1,1,1,0,0.423392327963972,0.432244225499259,0.996765374300961,0.998007228121377,0.996765374300961,0.998007228121377,0.999849965528537,1,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,polyphase,soft-preferred,1.82271233039569
-16,5,8,1,200,16,7024,9600,17470,48000,25303,25368,25453,25600,200,200,200,0,0,0,192,7,1,0.731666666666667,0.363958333333333,0.9883984375,0.9909375,0.9942578125,1,1,1,0,0.35966514224717,0.36827329761283,0.987011460140953,0.989638861656179,0.989700747156766,0.992026937746566,0.99325517518488,0.99511213839579,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,polyphase,soft-preferred,3.82271233039569
-14,5,8,1,200,16,5214,9600,12724,48000,22487,23780,23276,25600,200,200,200,0,0,0,164,36,0,0.543125,0.265083333333333,0.8783984375,0.92890625,0.90921875,1,1,1,0,0.261153694720706,0.269050569882871,0.874338029019835,0.882345300361019,0.92569351369152,0.931990284863429,0.905637748408165,0.912676957754097,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,polyphase,soft-preferred,5.82271233039569
-12,5,8,1,200,16,2873,9600,6546,48000,8383,13804,9128,25600,200,200,200,0,0,0,45,155,0,0.299270833333333,0.136375,0.3274609375,0.53921875,0.3565625,1,1,1,0,0.133333948777164,0.139474248667925,0.321738537381958,0.33323511123214,0.533107304197568,0.545318427473576,0.35071697494901,0.362451066189991,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,polyphase,soft-preferred,7.82271233039569
-10,5,8,1,200,16,1089,9600,1996,48000,616,2572,616,25600,149,200,149,0,51,51,0,148,1,0.1134375,0.0415833333333333,0.0240625,0.10046875,0.0240625,0.745,1,0.745,0.255,0.039833782927828,0.0434062523982711,0.0222554946993601,0.0260123193631636,0.0968459057100979,0.104211481209755,0.0222554946993601,0.0260123193631636,0.680370741795453,0.800395048279686,0.981154673622734,1,0.680370741795453,0.800395048279686,polyphase,soft-preferred,9.82271233039569
-8,5,8,1,200,16,290,9600,359,48000,40,411,45,25600,26,127,29,73,171,101,0,26,0,0.0302083333333333,0.00747916666666667,0.0015625,0.0160546875,0.0017578125,0.13,0.635,0.145,0.505,0.00674683550892067,0.00829032478667597,0.0011477370635855,0.00212682855015408,0.0145860767504236,0.0176685152079322,0.00131405181504056,0.00235108019148361,0.0902820227966933,0.183663518722484,0.566317026527406,0.698594735350732,0.102893506420044,0.200486675307815,polyphase,soft-preferred,11.8227123303957
-6,5,8,1,200,16,88,9600,91,48000,1,113,1,25600,1,56,1,144,199,55,0,1,0,0.00916666666666667,0.00189583333333333,3.90625e-05,0.0044140625,3.90625e-05,0.005,0.28,0.005,0.275,0.00154452438754476,0.00232686284258171,6.89552370722491e-06,0.000221252226312594,0.00367302374563643,0.00530381120275808,6.89552370722491e-06,0.000221252226312594,0.00088316871560098,0.0277737043978929,0.22236889773949,0.345923045866507,0.00088316871560098,0.0277737043978929,polyphase,soft-preferred,13.8227123303957
-4,5,8,1,200,16,17,9600,17,48000,0,18,0,25600,0,12,0,188,200,12,0,0,0,0.00177083333333333,0.000354166666666667,0,0.000703125,0,0,0.06,0,0.06,0.000221146030633183,0.00056715460678884,0,0.000150034471462902,0.00044482422468467,0.00111124926080274,0,0.000150034471462902,0,0.0188453263772665,0.0346521942543319,0.101931692957663,0,0.0188453263772665,polyphase,soft-preferred,15.8227123303957
-20,6,8,1,200,16,6524,7600,19499,45600,25600,25600,25600,25600,200,200,200,0,0,0,200,0,0,0.858421052631579,0.427609649122807,1,1,1,1,1,1,0,0.423075100695178,0.432156393213916,0.999849965528537,1,0.999849965528537,1,0.999849965528537,1,0.981154673622734,1,0.981154673622734,1,0.981154673622734,1,polyphase,soft-preferred,1.81843587944773
