SNR_dB,SpreadingFactor,SamplesPerChip,CodingRate,Transmissions,ActivityCandidates,EnergyDetectedPackets,AcquiredPackets,DetectionProbability,FalseAlarmCandidates,FalseLoRaReceptions,DuplicateCandidates,PacketErrors,PER,PayloadBitErrors,PayloadBits,PayloadBER,PreFecBitErrors,PreFecBits,PreFecBER,HeaderFailures,CrcFailures,UndetectedErrors,FftCorrelatorPackets,PolyphaseFallbackPackets,DetectionLower95,DetectionUpper95,PER_Lower95,PER_Upper95
-4,5,4,1,2,2,2,2,1,0,0,0,0,0,0,256,0,0,400,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,5,4,2,2,2,2,2,1,0,0,0,0,0,0,256,0,0,480,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,5,4,3,2,2,2,2,1,0,0,0,0,0,0,256,0,0,560,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,5,4,4,2,2,2,2,1,0,0,0,0,0,0,256,0,0,640,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,6,4,1,2,2,2,2,1,0,0,0,0,0,0,256,0,0,360,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,6,4,2,2,2,2,2,1,0,0,0,0,0,0,256,0,0,432,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,6,4,3,2,2,2,2,1,0,0,0,0,0,0,256,0,0,504,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,6,4,4,2,2,2,2,1,0,0,0,0,0,0,256,0,0,576,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,7,4,1,2,2,2,2,1,0,0,0,0,0,0,256,0,0,420,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,7,4,2,2,2,2,2,1,0,0,0,0,0,0,256,0,0,504,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,7,4,3,2,2,2,2,1,0,0,0,0,0,0,256,0,0,588,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,7,4,4,2,2,2,2,1,0,0,0,0,0,0,256,0,0,672,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,8,4,1,2,2,2,2,1,0,0,0,0,0,0,256,0,0,400,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,8,4,2,2,2,2,2,1,0,0,0,0,0,0,256,0,0,480,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,8,4,3,2,2,2,2,1,0,0,0,0,0,0,256,0,0,560,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,8,4,4,2,2,2,2,1,0,0,0,0,0,0,256,0,0,640,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,9,4,1,2,2,2,2,1,0,0,0,0,0,0,256,0,0,360,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,9,4,2,2,2,2,2,1,0,0,0,0,0,0,256,0,0,432,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,9,4,3,2,2,2,2,1,0,0,0,0,0,0,256,0,0,504,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,9,4,4,2,2,2,2,1,0,0,0,0,0,0,256,0,0,576,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,10,4,1,2,2,2,2,1,0,0,0,0,0,0,256,0,0,400,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,10,4,2,2,2,2,2,1,0,0,0,0,0,0,256,0,0,480,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,10,4,3,2,2,2,2,1,0,0,0,0,0,0,256,0,0,560,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,10,4,4,2,2,2,2,1,0,0,0,0,0,0,256,0,0,640,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,11,4,1,2,2,2,2,1,0,0,0,0,0,0,256,0,0,360,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,11,4,2,2,2,2,2,1,0,0,0,0,0,0,256,0,0,432,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,11,4,3,2,2,2,2,1,0,0,0,0,0,0,256,0,0,504,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,11,4,4,2,2,2,2,1,0,0,0,0,0,0,256,0,0,576,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,12,4,1,2,2,2,2,1,0,0,0,0,0,0,256,0,0,400,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,12,4,2,2,2,2,2,1,0,0,0,0,0,0,256,0,0,480,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,12,4,3,2,2,2,2,1,0,0,0,0,0,0,256,0,0,560,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
-4,12,4,4,2,2,2,2,1,0,0,0,0,0,0,256,0,0,640,0,0,0,0,2,0,0.342380227506654,1,0,0.657619772493346
