SNR_dB,SpreadingFactor,SamplesPerChip,CodingRate,Transmissions,ActivityCandidates,EnergyDetectedPackets,AcquiredPackets,DetectionProbability,FalseAlarmCandidates,FalseLoRaReceptions,DuplicateCandidates,PacketErrors,PER,PayloadBitErrors,PayloadBits,PayloadBER,PreFecBitErrors,PreFecBits,PreFecBER,HeaderFailures,CrcFailures,UndetectedErrors,FftCorrelatorPackets,PolyphaseFallbackPackets,DetectionLower95,DetectionUpper95,PER_Lower95,PER_Upper95
-14,5,8,1,20,0,0,0,0,0,0,0,20,1,2560,2560,1,0,0,NaN,20,20,0,0,0,0,0.161125158052819,0.838874841947181,1
-12,5,8,1,20,3,3,2,0.1,0,0,0,19,0.95,2321,2560,0.906640625,39,400,0.0975,17,19,0,3,0,0.0278664812137683,0.301033645228487,0.763868806553258,0.991118551199204
-10,5,8,1,20,18,18,18,0.9,0,0,0,4,0.2,290,2560,0.11328125,43,3600,0.0119444444444444,2,4,0,18,0,0.698966354771513,0.972133518786232,0.0806576625797981,0.416017432251893
-8,5,8,1,20,20,20,20,1,0,0,0,0,0,0,2560,0,8,4000,0.002,0,0,0,18,2,0.838874841947181,1,0,0.161125158052819
-18,7,8,1,20,2,2,1,0.05,0,0,0,20,1,2471,2560,0.965234375,63,210,0.3,18,20,0,1,1,0.00888144880079543,0.236131193446741,0.838874841947181,1
-16,7,8,1,20,18,18,16,0.8,0,0,0,18,0.9,892,2560,0.3484375,687,3570,0.192436974789916,2,16,2,15,3,0.583982567748107,0.919342337420202,0.698966354771513,0.972133518786232
-14,7,8,1,20,20,20,20,1,0,0,0,0,0,0,2560,0,22,4200,0.00523809523809524,0,0,0,16,4,0.838874841947181,1,0,0.161125158052819
-12,7,8,1,20,20,20,20,1,0,0,0,0,0,0,2560,0,0,4200,0,0,0,0,19,1,0.838874841947181,1,0,0.161125158052819
-24,9,8,1,20,0,0,0,0,0,0,0,20,1,2560,2560,1,0,0,NaN,20,20,0,0,0,0,0.161125158052819,0.838874841947181,1
-22,9,8,1,20,12,12,10,0.5,0,0,0,19,0.95,1512,2560,0.590625,193,1620,0.119135802469136,9,19,0,2,9,0.299298008198213,0.700701991801787,0.763868806553258,0.991118551199204
-20,9,8,1,20,20,20,20,1,0,0,0,1,0.05,45,2560,0.017578125,113,3600,0.0313888888888889,0,1,0,1,19,0.838874841947181,1,0.00888144880079543,0.236131193446741
-18,9,8,1,20,20,20,20,1,0,0,0,0,0,0,2560,0,2,3600,0.000555555555555556,0,0,0,1,19,0.838874841947181,1,0,0.161125158052819
