SF,SamplesPerChip,OffsetSamples,OffsetChips,PreambleDetected,SyncOnFreeGrid,ChipsToBoundaryError
7,4,0,0,1,1,0
7,4,16,4,1,1,0
7,4,33,8.25,1,1,0.25
7,4,49,12.25,1,1,0.25
7,4,66,16.5,1,1,0.5
7,4,82,20.5,1,1,0.5
7,4,99,24.75,1,1,0.25
7,4,115,28.75,1,1,0.25
7,4,132,33,1,1,0
7,4,148,37,1,1,0
7,4,165,41.25,1,1,0.25
7,4,181,45.25,1,1,0.25
7,4,198,49.5,1,1,0.5
7,4,214,53.5,1,1,0.5
7,4,231,57.75,1,1,0.25
7,4,247,61.75,1,0,0.25
7,4,264,66,1,1,0
7,4,280,70,1,1,0
7,4,297,74.25,1,1,0.25
7,4,313,78.25,1,1,0.25
7,4,330,82.5,1,1,0.5
7,4,346,86.5,1,1,0.5
7,4,363,90.75,1,1,0.25
7,4,379,94.75,1,1,0.25
7,4,396,99,1,1,0
7,4,412,103,1,1,0
7,4,429,107.25,1,1,0.25
7,4,445,111.25,1,1,0.25
7,4,462,115.5,1,1,0.5
7,4,478,119.5,1,1,0.5
7,4,495,123.75,1,1,0.75
7,4,511,127.75,1,1,0.25
