Case,SF,L,N,M,Windows,MatlabSymbols,SimulinkSymbols,SymbolsMatch,ConfidenceAbsError,ConfidenceRelError,WorstStage,WorstRelativeRms,WorstMaxAbsError,ReferenceRomMaxAbsError,FftMLatencySamples,SymbolLatencySamples,SymbolIntervalSamples,ThroughputSymbolsPerSample
sf7-l1-clean,7,1,128,128,3,[0 45 127],[0 45 127],1,0,0,fftN,4.8860861669511e-16,7.27595761418343e-12,0,180,614,128,0.0078125
sf7-l2-clean,7,2,128,256,2,[13 100],[13 100],1,7.7715611723761e-16,7.9884331907636e-16,fftN,3.86037507492571e-16,3.59509347182254e-13,0,313,875,256,0.00390625
sf7-l4-clean,7,4,128,512,1,63,63,1,2.22044604925031e-16,2.29062031262485e-16,fftN,5.90023485135758e-16,1.63961489100256e-12,0,567,1385,512,0.001953125
sf7-l8-clean,7,8,128,1024,1,1,1,1,1.88737914186277e-15,1.94867615225429e-15,fftM,3.75341835588402e-16,5.00222085975111e-12,0,1084,2414,1024,0.0009765625
sf7-l8-awgn-p00,7,8,128,1024,1,77,77,1,2.22044604925031e-16,2.55506645148053e-16,magnitudeSquared,5.78593746791326e-16,5.82076609134674e-10,0,1084,2414,1024,0.0009765625
sf7-l8-awgn-m10,7,8,128,1024,1,77,77,1,1.11022302462516e-16,2.70382768086568e-16,fftN,5.24125884970072e-16,3.49245965480804e-10,0,1084,2414,1024,0.0009765625
sf7-l8-cfo,7,8,128,1024,1,34,34,1,5.55111512312578e-17,1.24403803857538e-16,fftN,4.40943855936158e-16,1.74622982740402e-10,0,1084,2414,1024,0.0009765625
sf7-l8-timing,7,8,128,1024,1,32,32,1,2.22044604925031e-16,3.17990915239039e-16,fftM,3.87226094695631e-16,1.16415321826935e-10,0,1084,2414,1024,0.0009765625
sf7-l8-combined,7,8,128,1024,2,[31 95],[31 95],1,6.66133814775094e-16,1.25331626663518e-15,fftN,5.62464858874026e-16,1.16415321826935e-10,0,1084,2414,1024,0.0009765625
sf5-l8-clean,5,8,32,256,2,[17 3],[17 3],1,0,0,fftN,3.30743480844115e-16,1.45519152283669e-11,0,313,680,256,0.00390625
sf5-l4-awgn,5,4,32,128,1,30,30,1,1.11022302462516e-16,2.35904514092451e-16,magnitudeSquared,4.01281210150089e-16,7.27595761418343e-12,0,180,419,128,0.0078125
sf9-l2-clean,9,2,512,1024,1,300,300,1,0,0,fftN,5.3685285898653e-16,2.89901436190121e-12,0,1084,3185,1024,0.0009765625
sf9-l2-combined,9,2,512,1024,1,2,2,1,3.88578058618805e-16,1.16688949757339e-15,fftN,5.12144728772473e-16,2.3283064365387e-10,0,1084,3185,1024,0.0009765625
sf10-l1-clean,10,1,1024,1024,1,1000,1000,1,0,0,fftN,6.23217184138201e-16,1.07852804154676e-12,0,1084,4214,1024,0.0009765625
sf12-l1-clean,12,1,4096,4096,1,4095,4095,1,0,0,fftN,8.33387217231994e-16,4.83403064787792e-12,0,4143,16476,4096,0.000244140625
