Capture,Packet,SF,L,Symbols,FixedMatchesFloat,FloatMatchesReceiver,FixedMatchesReceiver,ReceiverCrcValid
sf5-bw125,1,5,8,78,78,78,78,1
sf5-bw125,2,5,8,78,78,78,78,1
sf5-bw125,3,5,8,78,78,78,78,1
sf5-bw125,4,5,8,78,78,78,78,1
sf5-bw125,5,5,8,78,78,78,78,1
sf5-bw125,6,5,8,78,78,78,78,1
sf5-bw125,7,5,8,78,78,78,78,1
sf5-bw125,8,5,8,78,78,78,78,1
sf5-bw125,9,5,8,78,78,78,78,1
sf5-bw125,10,5,8,78,78,78,78,1
sf5-bw125,11,5,8,78,78,78,78,1
sf5-bw125,12,5,8,78,78,78,78,1
sf5-bw125,13,5,8,78,78,78,78,1
sf5-bw125,14,5,8,78,78,78,78,1
sf5-bw125,15,5,8,78,78,78,78,1
sf5-bw125,16,5,8,78,78,78,78,1
sf5-bw125,17,5,8,78,78,78,78,1
sf5-bw125,18,5,8,78,78,78,78,1
sf5-bw125,19,5,8,78,78,78,78,1
sf5-bw125,20,5,8,78,78,78,78,1
sf5-bw125,21,5,8,78,78,78,78,1
sf5-bw125,22,5,8,78,78,78,78,1
sf5-bw125,23,5,8,78,78,78,78,1
sf5-bw125,24,5,8,78,78,78,78,1
sf5-bw125,25,5,8,78,78,78,78,1
sf5-bw125,26,5,8,78,78,78,78,1
sf5-bw125,27,5,8,78,78,78,78,1
sf5-bw125,28,5,8,78,78,78,78,1
sf5-bw125,29,5,8,78,78,78,78,1
sf5-bw125,30,5,8,78,78,78,78,1
sf6-bw125,1,6,8,68,68,68,68,1
sf6-bw125,2,6,8,68,68,68,68,1
sf6-bw125,3,6,8,68,68,68,68,1
sf6-bw125,4,6,8,68,68,68,68,1
sf6-bw125,5,6,8,68,68,68,68,1
sf6-bw125,6,6,8,68,68,68,68,1
sf6-bw125,7,6,8,68,68,68,68,1
sf6-bw125,8,6,8,68,68,68,68,1
sf6-bw125,9,6,8,68,68,68,68,1
sf6-bw125,10,6,8,68,68,68,68,1
sf6-bw125,11,6,8,68,68,68,68,1
sf6-bw125,12,6,8,68,68,68,68,1
sf6-bw125,13,6,8,68,68,68,68,1
sf6-bw125,14,6,8,68,68,68,68,1
sf6-bw125,15,6,8,68,68,68,68,1
sf6-bw125,16,6,8,68,68,68,68,1
sf6-bw125,17,6,8,68,68,68,68,1
sf6-bw125,18,6,8,68,68,68,68,1
sf6-bw125,19,6,8,68,68,68,68,1
sf6-bw125,20,6,8,68,68,68,68,1
sf6-bw125,21,6,8,68,68,68,68,1
sf6-bw125,22,6,8,68,68,68,68,1
sf6-bw125,23,6,8,68,68,68,68,1
sf6-bw125,24,6,8,68,68,68,68,1
sf6-bw125,25,6,8,68,68,68,68,1
sf6-bw125,26,6,8,68,68,68,68,1
sf6-bw125,27,6,8,68,68,68,68,1
sf6-bw125,28,6,8,68,68,68,68,1
sf6-bw125,29,6,8,68,68,68,68,1
sf6-bw125,30,6,8,68,68,68,68,1
baseline-sf7-bw125,1,7,8,58,58,58,58,1
