Case,Stage,Elements,MaxAbsError,RmsError,ReferenceRms,RelativeRms
sf7-l1-clean,fftM,384,1.00485917355762e-14,3.07062624955613e-15,11.3137084989848,2.71407580443819e-16
sf7-l1-clean,product,384,1.14791692037411e-13,3.57871599241893e-14,128,2.79587186907729e-16
sf7-l1-clean,partition,384,1.14791692037411e-13,3.57871599241893e-14,128,2.79587186907729e-16
sf7-l1-clean,fftN,384,4.49961536787386e-14,5.52797545938065e-15,11.3137084989848,4.8860861669511e-16
sf7-l1-clean,magnitudeSquared,384,7.27595761418343e-12,5.25097010895138e-13,1448.15468787005,3.62597321469471e-16
sf7-l2-clean,fftM,512,1.67581169067017e-14,5.01557114431499e-15,16,3.13473196519687e-16
sf7-l2-clean,product,512,3.59509347182254e-13,9.57765344682956e-14,362.007614694294,2.64570496808959e-16
sf7-l2-clean,partition,256,3.59509347182254e-13,1.38741382942582e-13,519.094741907937,2.67275646893739e-16
sf7-l2-clean,fftN,256,7.14983627858601e-14,8.85607227447222e-15,22.9409632550864,3.86037507492571e-16
sf7-l2-clean,magnitudeSquared,256,3.26849658449646e-13,3.5477401548695e-14,5792.7000417104,6.12450175103831e-18
sf7-l4-clean,fftM,512,3.5527136788005e-14,8.75282952611105e-15,22.6274169979695,3.86824069530185e-16
sf7-l4-clean,product,512,1.63961489100256e-12,3.19337712548963e-13,1027.72121306502,3.10724064551114e-16
sf7-l4-clean,partition,128,1.63961489100256e-12,6.52462457804416e-13,2080.11043834889,3.13667219670469e-16
sf7-l4-clean,fftN,128,2.27857406710866e-13,2.71200643540536e-14,45.9643811429194,5.90023485135758e-16
sf7-l4-clean,magnitudeSquared,128,1.53477230924182e-12,2.32685276506406e-13,23170.8599646106,1.00421510838092e-17
sf7-l8-clean,fftM,1024,5.123796534383e-14,1.20109387388289e-14,32,3.75341835588402e-16
sf7-l8-clean,product,1024,5.00222085975111e-12,7.91677665005643e-13,2909.39657739238,2.72110605737773e-16
sf7-l8-clean,partition,128,5.00222085975111e-12,2.27006017705766e-12,8323.96419015868,2.72713832640165e-16
sf7-l8-clean,fftN,128,2.26720148304361e-13,3.44079778429875e-14,91.9676800814874,3.74131192746197e-16
sf7-l8-clean,magnitudeSquared,128,3.18323145620525e-12,6.37329921184566e-13,92683.496366683,6.8764121571666e-18
sf7-l8-awgn-p00,fftM,1024,6.35528743231302e-14,1.65581899236003e-14,44.6007590890643,3.71253545046954e-16
sf7-l8-awgn-p00,product,1024,6.55845956401024e-12,8.10708917477583e-13,3010.31916634155,2.69309954420162e-16
sf7-l8-awgn-p00,partition,128,6.55845956401024e-12,2.32755522182782e-12,8608.4114359479,2.70381502922615e-16
sf7-l8-awgn-p00,fftN,128,3.42242702197163e-13,4.38529684531213e-14,95.1104078375405,4.61074339288158e-16
sf7-l8-awgn-p00,magnitudeSquared,128,5.82076609134674e-10,5.14691113488258e-11,88955.5264540191,5.78593746791326e-16
sf7-l8-awgn-m10,fftM,1024,1.39960687332008e-13,4.01930564342235e-14,104.818141067032,3.83455154089404e-16
sf7-l8-awgn-m10,product,1024,1.15042991098321e-11,1.48517967518089e-12,4298.20935772054,3.45534512532103e-16
sf7-l8-awgn-m10,partition,128,1.13965030104807e-11,4.2250304811301e-12,12177.3620122545,3.46957779269294e-16
sf7-l8-awgn-m10,fftN,128,3.52775702688928e-13,7.05170042370124e-14,134.542113372323,5.24125884970072e-16
